Id,Symbol,Market,SecurityNameTh,SecurityName
159,DELTA,SET,บริษัทเดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED
160,DEMCO,SET,บริษัท เด็มโก้ จำกัด (มหาชน),DEMCO PUBLIC COMPANY LIMITED
161,DIF,SET,กองทุนรวมโครงสร้างพื้นฐานโทรคมนาคม ดิจิทัล,DIGITAL TELECOMMUNICATIONS INFRASTRUCTURE FUND
162,DIGI,SET,บริษัท ดิจิตอลเทค แพลนเน็ต จำกัด (มหาชน),DIGITAL TECH PLANET PUBLIC COMPANY LIMITED
163,DIMET,mai,บริษัท ไดเมท (สยาม) จำกัด (มหาชน),DIMET (SIAM) PUBLIC COMPANY LIMITED
164,DNA,mai,บริษัท ดีเอ็นเอ 2002 จำกัด (มหาชน),DNA 2002 PUBLIC COMPANY LIMITED
165,DRT,SET,บริษัท ผลิตภัณฑ์ตราเพชร จำกัด (มหาชน),DIAMOND BUILDING PRODUCTS PUBLIC COMPANY LIMITED
166,DTAC,SET,บริษัท โทเทิ่ล แอ็คเซ็ส คอมมูนิเคชั่น จำกัด (มหาชน),TOTAL ACCESS COMMUNICATION PUBLIC COMPANY LIMITED
167,DTC,SET,บริษัท ดุสิตธานี จำกัด (มหาชน),DUSIT THANI PUBLIC COMPANY LIMITED
168,DTCI,SET,บริษัท ดี.ที.ซี.อินดัสตรี่ส์ จำกัด (มหาชน),D.T.C. INDUSTRIES PUBLIC COMPANY LIMITED
169,DTCPF,SET,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าดุสิตธานี,DUSIT THANI FREEHOLD & LEASEHOLD PROPERTY FUND
170,EA,SET,บริษัท พลังงานบริสุทธิ์ จำกัด (มหาชน),ENERGY ABSOLUTE PUBLIC COMPANY LIMITED
171,EARTH,SET,บริษัท เอ็นเนอร์ยี่ เอิร์ธ จำกัด (มหาชน),ENERGY EARTH PUBLIC COMPANY LIMITED
172,EASON,SET,บริษัท อีซึ่น เพ้นท์ จำกัด (มหาชน),EASON PAINT PUBLIC COMPANY LIMITED
173,EASTW,SET,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน),EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PCL.
174,ECF,mai,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),EAST COAST FURNITECH PUBLIC COMPANY LIMITED
175,ECL,SET,บริษัท ตะวันออกพาณิชย์ลีสซิ่ง จำกัด (มหาชน),EASTERN COMMERCIAL LEASING PUBLIC COMPANY LIMITED
176,EE,SET,บริษัท อีเทอเนิล เอนเนอยี จำกัด (มหาชน),ETERNAL ENERGY PUBLIC COMPANY LIMITED
177,EFORL,mai,บริษัท อี ฟอร์ แอล เอม จำกัด (มหาชน),E FOR L AIM PUBLIC COMPANY LIMITED
178,EGATIF,SET,กองทุนรวมโครงสร้างพื้นฐาน โรงไฟฟ้าพระนครเหนือ ชุดที่ 1 การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,NORTH BANGKOK POWER PLANT BLOCK 1 INFRASTRUCTURE FUND&sbquo; ELECTRICITY GENERATING AUTHORITY OF THAILAND
179,EGCO,SET,บริษัท ผลิตไฟฟ้า จำกัด (มหาชน),ELECTRICITY GENERATING PUBLIC COMPANY LIMITED
180,EIC,SET,บริษัท อุตสาหกรรม อีเล็คโทรนิคส์ จำกัด (มหาชน),ELECTRONICS INDUSTRY PUBLIC COMPANY LIMITED
181,EKH,SET,บริษัท เอกชัยการแพทย์ จำกัด (มหาชน),EKACHAI MEDICAL CARE PUBLIC COMPANY LIMITED
182,EMC,SET,บริษัท อีเอ็มซี จำกัด (มหาชน),EMC PUBLIC COMPANY LIMITED
183,EPCO,SET,บริษัท โรงพิมพ์ตะวันออก จำกัด (มหาชน),EASTERN PRINTING PUBLIC COMPANY LIMITED
184,EPG,SET,บริษัท อีสเทิร์นโพลีเมอร์ กรุ๊ป จำกัด (มหาชน),EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED
185,ERW,SET,บริษัท ดิ เอราวัณ กรุ๊ป จำกัด (มหาชน),THE ERAWAN GROUP PUBLIC COMPANY LIMITED
186,ERWPF,SET,กองทุนรวมอสังหาริมทรัพย์เอราวัณ โฮเทล โกรท,ERAWAN HOTEL GROWTH PROPERTY FUND
187,ESSO,SET,บริษัท เอสโซ่ (ประเทศไทย) จำกัด (มหาชน),ESSO (THAILAND) PUBLIC COMPANY LIMITED
188,ESTAR,SET,บริษัท อีสเทอร์น สตาร์ เรียล เอสเตท จำกัด (มหาชน),EASTERN STAR REAL ESTATE PUBLIC COMPANY LIMITED
189,ETE,mai,บริษัท บูรพา เทคนิคอล เอ็นจิเนียริ่ง จำกัด (มหาชน),EASTERN TECHNICAL ENGINEERING PUBLIC COMPANY LIMITED
190,EVER,SET,บริษัท เอเวอร์แลนด์ จำกัด (มหาชน),EVERLAND PUBLIC COMPANY LIMITED
191,F&D,SET,บริษัท ฟู้ดแอนด์ดริ๊งส์ จำกัด (มหาชน),FOOD AND DRINKS PUBLIC COMPANY LIMITED
192,FANCY,SET,บริษัท แฟนซีวู๊ด อินดัสตรีส จำกัด (มหาชน),FANCY WOOD INDUSTRIES PUBLIC COMPANY LIMITED
193,FC,mai,บริษัท ฟู้ด แคปปิตอล จำกัด (มหาชน),FOOD CAPITALS PUBLIC COMPANY LIMITED
194,FE,SET,บริษัท ฟาร์อีสท์ ดีดีบี จำกัด (มหาชน),FAR EAST DDB PUBLIC COMPANY LIMITED
195,FER,SET,บริษัท เฟอร์รั่ม จำกัด (มหาชน),FERRUM PUBLIC COMPANY LIMITED
196,FLOYD,mai,บริษัท ฟลอยด์ จำกัด (มหาชน),FLOYD PUBLIC COMPANY LIMITED
197,FMT,SET,บริษัท ฟูรูกาวา เม็ททัล (ไทยแลนด์) จำกัด (มหาชน),FURUKAWA METAL (THAILAND) PUBLIC COMPANY LIMITED
198,FN,SET,บริษัท เอฟเอ็น แฟคตอรี่ เอ๊าท์เลท จำกัด (มหาชน),FN FACTORY OUTLET PUBLIC COMPANY LIMITED
199,FNS,SET,บริษัท ฟินันซ่า จำกัด (มหาชน),FINANSA PUBLIC COMPANY LIMITED
200,FOCUS,mai,บริษัท โฟคัส ดีเวลลอปเม้นท์ แอนด์ คอนสตรัคชั่น จำกัด (มหาชน),FOCUS DEVELOPMENT AND CONSTRUCTION PUBLIC COMPANY LIMITED
201,FORTH,SET,บริษัท ฟอร์ท คอร์ปอเรชั่น จำกัด (มหาชน),FORTH CORPORATION PUBLIC COMPANY LIMITED
202,FPI,mai,บริษัท ฟอร์จูน พาร์ท อินดัสตรี้ จำกัด (มหาชน),FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED
203,FSMART,mai,บริษัท ฟอร์ท สมาร์ท เซอร์วิส จำกัด (มหาชน),FORTH SMART SERVICE PUBLIC COMPANY LIMITED
204,FSS,SET,บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน),FINANSIA SYRUS SECURITIES PUBLIC COMPANY LIMITED
205,FTE,SET,บริษัท ไฟร์เทรดเอ็นจิเนียริ่ง จำกัด (มหาชน),FIRETRADE ENGINEERING PUBLIC COMPANY LIMITED
206,FUTUREPF,SET,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ฟิวเจอร์พาร์ค,FUTURE PARK LEASEHOLD PROPERTY FUND
207,FVC,mai,บริษัท ฟิลเตอร์ วิชั่น จำกัด (มหาชน),FILTER VISION PUBLIC COMPANY LIMITED
208,GAHREIT,SET,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ แกรนด์ โฮสพีทาลิตี้,GRANDE HOSPITALITY REAL ESTATE INVESTMENT TRUST
209,GBX,SET,บริษัท โกลเบล็ก โฮลดิ้ง แมนเนจเม้นท์ จำกัด (มหาชน),GLOBLEX HOLDING MANAGEMENT PUBLIC COMPANY LIMITED
210,GC,SET,บริษัท โกลบอล คอนเน็คชั่นส์ จำกัด (มหาชน),GLOBAL CONNECTIONS PUBLIC COMPANY LIMITED
211,GCAP,mai,บริษัท จี แคปปิตอล จำกัด (มหาชน),G CAPITAL PUBLIC COMPANY LIMITED
212,GEL,SET,บริษัท เจนเนอรัล เอนจิเนียริ่ง จำกัด (มหาชน),GENERAL ENGINEERING PUBLIC COMPANY LIMITED
